biosample_id_namespace	biosample_local_id	disease
https://www.lincsproject.org/	DOS027_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS027_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS028_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS028_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS029_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS030_VCAP_24H	DOID:2526
https://www.lincsproject.org/	DOS030_VCAP_6H	DOID:2526
https://www.lincsproject.org/	DOS031_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS031_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS032_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS032_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS032_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS032_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS033_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS033_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS033_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS033_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS033_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS034_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS034_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS034_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS034_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS034_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS036_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS037_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS039_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS039_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS040_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS040_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS041_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS041_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS042_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS042_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS043_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS043_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS043_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS044_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS045_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS045_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS046_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS046_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS046_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS046_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS046_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS047_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS047_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS047_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS047_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS047_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS048_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS048_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS049_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS049_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS049_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS050_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS050_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS050_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS051_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS051_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS051_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS051_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS052_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS052_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS052_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS052_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS053_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS053_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS053_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS053_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS054_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS054_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS054_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS054_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS054_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS055_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS055_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS055_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS055_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS055_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS056_A375_24H	DOID:1909
https://www.lincsproject.org/	DOS056_A549_24H	DOID:1324
https://www.lincsproject.org/	DOS056_HT29_24H	DOID:1520
https://www.lincsproject.org/	DOS056_MCF7_24H	DOID:3459
https://www.lincsproject.org/	DOS056_PC3_24H	DOID:2526
https://www.lincsproject.org/	DOS057_A375_24H	DOID:1909
