collection_id_namespace	collection_local_id	project_id_namespace	project_local_id
https://www.lincsproject.org/	LDG-1357	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1358	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1359	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1360	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1361	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1348	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1349	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1350	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1351	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1352	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1353	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1354	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1355	https://www.lincsproject.org/	LINCS MCF10A project
https://www.lincsproject.org/	LDG-1265	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1266	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1220	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1243	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1244	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1245	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1246	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1247	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1248	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1221	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1222	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1223	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1224	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1225	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1226	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1241	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1242	https://www.lincsproject.org/	LINCS joint project
https://www.lincsproject.org/	LDG-1137	https://www.lincsproject.org/	LINCS phase 1
https://www.lincsproject.org/	LDG-1090	https://www.lincsproject.org/	LINCS phase 1
