subject_id_namespace	subject_local_id	role_id	taxonomy_id
http://www.lincsproject.org/	GTEX-ZG7Y	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZQUD	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OXRO	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WHSB	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-R55E	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X62O	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-U8XE	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-OIZG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZF2S	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WFJO	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WHSE	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XPVG	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X4EP	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-NPJ8	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WZTO	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-P4QS	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-U3ZH	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZF3C	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-P4QR	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-Y3I4	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-YFCO	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-ZT9W	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-X5EB	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-NL3G	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-WL46	cfde_subject_role:0	NCBI:txid9606
http://www.lincsproject.org/	GTEX-XAJ8	cfde_subject_role:0	NCBI:txid9606
